op_pair,dtype,R,C,param_NOUT,f_regs,f_spills,f_occ_analytic,local_inst,global_inst,bank_conf,dominant_penalty
sibling_redux_n32,float16,2048,2048,32,256,100,0.25,1523200,33024,181368,spill
sibling_redux_n32,float32,2048,2048,32,256,100,0.25,1598976,33024,201876,spill
sibling_redux_n64,float16,2048,2048,64,256,524,0.25,15389440,33280,12562580,spill
sibling_redux_n64,float32,2048,2048,64,256,524,0.25,15324672,49664,12151406,spill
sibling_redux_n128,float16,2048,2048,128,256,844,0.25,26390528,50176,5735736,spill
sibling_redux_n128,float32,2048,2048,128,256,848,0.25,26509824,82944,9353786,spill
sibling_redux_n32,float16,1024,1024,32,256,100,0.25,386688,8320,45088,spill
sibling_redux_n32,float32,1024,1024,32,256,100,0.25,405504,8320,50410,spill
sibling_redux_n64,float16,1024,1024,64,256,524,0.25,3854080,8448,3144644,spill
sibling_redux_n64,float32,1024,1024,64,256,524,0.25,3835648,12544,3037900,spill
sibling_redux_n128,float16,1024,1024,128,256,844,0.25,6606080,12800,1418716,spill
sibling_redux_n128,float32,1024,1024,128,256,848,0.25,6635648,20992,2326806,spill
