M,N,K,BM,BN,dtype,f_regs,f_spills,f_occ,t_fused_ms,t_unfused_ms,speedup,beneficial,maxdiff,idx
2048,2048,512,64,64,float16,134,0,0.375,0.1103,0.1334,1.209,1,0,0
2048,2048,512,64,64,float32,168,0,0.25,0.1574,0.1801,1.144,1,0,1
2048,2048,512,128,128,float16,256,117,0.125,0.4157,0.4424,1.064,1,0,2
2048,2048,512,128,128,float32,256,205,0.125,0.8097,0.6734,0.832,0,0,3
2048,2048,2048,64,64,float16,134,0,0.375,0.3786,0.3954,1.044,1,0,4
2048,2048,2048,64,64,float32,168,0,0.25,0.5028,0.5281,1.05,1,0,5
2048,2048,2048,128,128,float16,256,117,0.125,1.607,1.6255,1.011,1,0,6
2048,2048,2048,128,128,float32,256,205,0.125,3.0565,2.4424,0.799,0,0,7
4096,4096,512,64,64,float16,134,0,0.375,0.4058,0.4649,1.146,1,0,8
4096,4096,512,64,64,float32,168,0,0.25,0.5864,0.6692,1.141,1,0,9
4096,4096,512,128,128,float16,256,117,0.125,1.4938,1.5823,1.059,1,0,10
4096,4096,512,128,128,float32,256,205,0.125,2.8897,2.3658,0.819,0,0,11
1024,1024,4096,64,64,float16,134,0,0.375,0.2211,0.2317,1.048,1,0,12
1024,1024,4096,64,64,float32,168,0,0.25,0.3208,0.3314,1.033,1,0,13
1024,1024,4096,128,128,float16,256,117,0.125,1.0063,1.0239,1.017,1,0,14
1024,1024,4096,128,128,float32,256,205,0.125,1.9133,1.4865,0.777,0,0,15
