family,op_pair,dtype,R,C,param_K,f_regs,f_spills,f_occ_analytic,u_regs,u_occ_analytic,f_occ_theoretical,f_occ_achieved,f_regs_ncu,f_spill_bytes,f_bank_conf,f_dram_bytes,f_dur_ns,u_spill_bytes,u_bank_conf,u_dram_bytes,occ_analytic_pct,occ_val_abs_err,dominant_penalty,param_NOUT,param_GS
pointwise,pointwise_chain_k2,float16,2048,2048,2,19,0,1.0,18,1.0,100.0,91.39,19.0,0.0,0.0,8403840.0,73632.0,0.0,0.0,16788736.0,100.0,0.0,none,,
pointwise,pointwise_chain_k8,float16,2048,2048,8,19,0,1.0,18,1.0,100.0,94.77,19.0,0.0,0.0,14984832.0,250112.0,0.0,0.0,67995392.0,100.0,0.0,none,,
pointwise,pointwise_chain_k32,float16,2048,2048,32,19,0,1.0,18,1.0,100.0,93.47,19.0,0.0,0.0,11218304.0,957440.0,0.0,0.0,273902720.0,100.0,0.0,none,,
pointwise,pointwise_chain_k2,float16,4096,1024,2,19,0,1.0,18,1.0,100.0,91.45,19.0,0.0,0.0,8531584.0,73792.0,0.0,0.0,17180928.0,100.0,0.0,none,,
pointwise,pointwise_chain_k8,float16,4096,1024,8,19,0,1.0,18,1.0,100.0,94.92,19.0,0.0,0.0,8802688.0,250016.0,0.0,0.0,68726528.0,100.0,0.0,none,,
pointwise,pointwise_chain_k32,float16,4096,1024,32,19,0,1.0,18,1.0,100.0,93.9,19.0,0.0,0.0,8490880.0,955936.0,0.0,0.0,275849088.0,100.0,0.0,none,,
reduction,sibling_redux_n16,float16,2048,2048,,128,0,0.3333,128,0.3333,33.33,19.49,128.0,0.0,495716.0,8500864.0,1310432.0,0.0,495970.0,8500864.0,33.33,0.0,none,16,16
reduction,sibling_redux_n16,float32,2048,2048,,128,0,0.3333,128,0.3333,33.33,18.18,128.0,0.0,74002.0,17250944.0,1203296.0,0.0,73970.0,31662336.0,33.33,0.0,none,16,16
reduction,sibling_redux_n32,float16,2048,2048,,255,0,0.1667,128,0.3333,16.67,14.18,255.0,0.0,463260.0,8602496.0,2581472.0,0.0,991848.0,30633344.0,16.67,0.0,none,32,16
reduction,sibling_redux_n32,float32,2048,2048,,255,0,0.1667,128,0.3333,16.67,14.34,255.0,0.0,20279.0,39470464.0,2302592.0,0.0,148470.0,55161472.0,16.67,0.0,none,32,16
reduction,sibling_redux_n64,float16,2048,2048,,255,300,0.1667,128,0.3333,16.67,14.33,255.0,1249968128.0,726815.0,33569408.0,5572160.0,0.0,1983594.0,36099328.0,16.67,0.0,spill,64,16
reduction,sibling_redux_n64,float32,2048,2048,,255,310,0.1667,128,0.3333,16.67,14.33,255.0,1275133952.0,190343.0,42822528.0,5356992.0,0.0,296539.0,88850432.0,16.67,0.0,spill,64,16
reduction,sibling_redux_n128,float16,2048,2048,,40,1986,1.0,128,0.3333,100.0,21.8,40.0,31398906496.0,1376256.0,9974006016.0,71033536.0,0.0,3967234.0,100115584.0,100.0,0.0,spill,128,16
reduction,sibling_redux_n128,float32,2048,2048,,40,1868,1.0,128,0.3333,100.0,21.84,40.0,30230020096.0,524288.0,9775525632.0,58002496.0,0.0,592270.0,212554496.0,100.0,0.0,spill,128,16
reduction,sibling_redux_n16,float16,1024,1024,,128,0,0.3333,128,0.3333,33.33,11.21,128.0,0.0,124282.0,2176640.0,452800.0,0.0,124334.0,2176640.0,33.33,0.0,none,16,16
reduction,sibling_redux_n16,float32,1024,1024,,128,0,0.3333,128,0.3333,33.33,11.2,128.0,0.0,18356.0,11095168.0,414624.0,0.0,18240.0,4293760.0,33.33,0.0,none,16,16
reduction,sibling_redux_n32,float16,1024,1024,,255,0,0.1667,128,0.3333,16.67,11.13,255.0,0.0,115327.0,2237056.0,839904.0,0.0,248517.0,4384000.0,16.67,0.0,none,32,16
reduction,sibling_redux_n32,float32,1024,1024,,255,0,0.1667,128,0.3333,16.67,11.16,255.0,0.0,3533.0,5929344.0,776608.0,0.0,36548.0,8642816.0,16.67,0.0,none,32,16
reduction,sibling_redux_n64,float16,1024,1024,,255,300,0.1667,128,0.3333,16.67,11.19,255.0,312508416.0,178470.0,16872704.0,1852192.0,0.0,497038.0,10308096.0,16.67,0.0,spill,64,16
reduction,sibling_redux_n64,float32,1024,1024,,255,310,0.1667,128,0.3333,16.67,11.12,255.0,318799872.0,39529.0,4770560.0,1795840.0,0.0,73182.0,19642880.0,16.67,0.0,spill,64,16
reduction,sibling_redux_n128,float16,1024,1024,,40,1986,1.0,128,0.3333,100.0,11.63,40.0,7850173056.0,344064.0,1404096640.0,11952224.0,0.0,994135.0,24139904.0,100.0,0.0,spill,128,16
reduction,sibling_redux_n128,float32,1024,1024,,40,1868,1.0,128,0.3333,100.0,11.65,40.0,7557922816.0,131072.0,1362234112.0,11587040.0,0.0,146155.0,47690368.0,100.0,0.0,spill,128,16
