claim,expected,median_speedup,ci_lo,ci_hi,verdict,significant,rounds,gpu
redux_N32_fp16,beneficial,1.083,1.081,1.084,beneficial,sig,20,0
redux_N32_fp32,TOXIC(flip),0.643,0.642,0.644,TOXIC,sig,20,0
redux_N64_fp32,TOXIC,0.271,0.27,0.271,TOXIC,sig,20,0
gemm_128_fp16,beneficial,1.064,1.061,1.068,beneficial,sig,20,0
gemm_128_fp32,TOXIC,0.824,0.821,0.825,TOXIC,sig,20,0
redux_N32_fp16,beneficial,1.079,1.077,1.082,beneficial,sig,20,1
redux_N32_fp32,TOXIC(flip),0.641,0.638,0.642,TOXIC,sig,20,1
redux_N64_fp32,TOXIC,0.271,0.27,0.272,TOXIC,sig,20,1
gemm_128_fp16,beneficial,1.063,1.06,1.066,beneficial,sig,20,1
gemm_128_fp32,TOXIC,0.824,0.822,0.826,TOXIC,sig,20,1
redux_N32_fp16,beneficial,1.082,1.08,1.084,beneficial,sig,20,2
redux_N32_fp32,TOXIC(flip),0.642,0.641,0.645,TOXIC,sig,20,2
redux_N64_fp32,TOXIC,0.271,0.271,0.272,TOXIC,sig,20,2
gemm_128_fp16,beneficial,1.064,1.062,1.067,beneficial,sig,20,2
gemm_128_fp32,TOXIC,0.824,0.822,0.826,TOXIC,sig,20,2
redux_N32_fp16,beneficial,1.081,1.079,1.083,beneficial,sig,20,3
redux_N32_fp32,TOXIC(flip),0.641,0.638,0.642,TOXIC,sig,20,3
redux_N64_fp32,TOXIC,0.271,0.271,0.272,TOXIC,sig,20,3
gemm_128_fp16,beneficial,1.064,1.059,1.066,beneficial,sig,20,3
gemm_128_fp32,TOXIC,0.825,0.823,0.827,TOXIC,sig,20,3
